# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
20	textures\misc.png	176	224	248
10	textures\enemies.png	3	26	110
50	textures\background.png	3	26	110
60	textures\sprite.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]
#fireball
#break right
10058	425	633	440	662	0
#break left
10059	5	633	20	662	0
#jump right up
10060	392	754	414	780	0
#jump right down
10061	303	634	323	660	0	
#jump left up
10062	31	754	53	780	0
#jump left down
10063	122	634	142	660	0

#---------------------------BRICK1
20001	461	533	478	550	60
#Brick2
20021	311	997	328	1014	60
20022	329	997	346	1014	60
20023	347	997	364	1014	60
20024	365	997	382	1014	60	
#Cloud Brick
20003	1424	208	1440	224	50
#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#Koopa
#walk left
31001	4	807	19	833	60
31002	21	806	36	831	60
#walk right
31003	3	778	18	804	60
31004	21	779	36	804	60
#brick with question mark animation
40001	383	997	400	1014	60
40002	401	997	418	1014	60
40003	419	997	436	1014	60
40004	437	997	454	1014	60
	
40005	499	533	516	550	60					
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ====== Background ========
1	1	100
#fireball ani
900	9001	100	9002	100	9003	100
#coin
800	8001	100	8002	100	8003	100	8004	100
# ==== MARIO =========
######BIG MARIO#########
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#break left BIG
510	10014	100
#break right BIG
511	10015	100
#jump right up
512	10016	100
#jump right down
513	10017	100
#jump left up
514	10018	100
#jump left down
515	10019	100
#--------------SMALL--------------
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
#break left
516	10034	100
#break right
517	10035	100
#jru
518	10036	100
#jrd
519	10037	100
#jlu
520	10038	100
#jld
521	10039	100

#die
599	10099	100

#----------Fire mario--------
#idle right
522	10040	100
#idle left
523	10041	100
#walk right
524	10040	100	10042	100	10043	100
#walk left
525	10041	100	10044	100	10045	100
#break right
526	10046	100
#break left
527	10047	100
#jump right up
528	10048	100
#jump right down
529	10049	100
#jump left up
530	10050	100
#jupmp left down
531	10051	100

#-----------racoon mario----------
#idle right
532	10052	100
#idle left
533	10053	100
#walk right
534	10052	100	10054	100	10055	100
#walk left
535	10053	100	10056	100	10057	100
#break right
536	10058	100
#break left
537	10059	100
#jump right up
538	10060	100
#jump right down
539	10061	100
#jump left up
540	10062	100
#jupmp left down
541	10063	100


#----------------------
#idle right
#idle left
#walk right
#walk left
#break right
#break left
#jump right up
#jump right down
#jump left up
#jupmp left down
# ==== BRICK  type1 =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100
#----question mark dies
606	40005	100
#-=====brick type 2=======
603	20021	100	20022	100	20023	100	20024	100

#-----cloud brick-----
604	20003	100
# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100

#---KOOPA
711	31001	100	31002	100
712	31003	100	31004	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#fireball
99	900
#coin
88	800
# MARIO
1	400	401	402	403	500	501	502	503	599	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	537	538	539	540	541
# BRICK 
2	601
#Brick 2
21	603
# QUESTION MARK BRICK 
22	602	606
#Cloud brick
23	604
# GOOMBA
3	701	702
#KOOPA
10	711	712
# Background
4	1
[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba,3 Koopa,4= Mysterious block,5 coin

#background
12	0	0	4


#coin
5	1080	340	88
5	1120	305	88
5	1160	270	88
5	1200	235	88
5	1240	200	88
#mysterious block
4	176	354	22
4	192	354	22
4	224	306	22
4	240	306	22

4	416	320	22

4	656	386	22

4	704	354	22

4	1472	370	22
# MARIO
0	150	300	1

# GOOMBA
2	255	370	3
2	509	370	3
2	890	370	3
2	920	370	3
2	960	370	3

#KOOPA
3	255	370	10
3	400	370	10
# BRICK type1 

# ---- brick group 1 ----
1	1504	338	2
1	1520	338	2

# ---- brick group 2 ----
1	1568	402	2
1	1584	402	2
1	1600	402	2

1	1584	386	2
1	1600	386	2

1	1600	370	2

# ---- brick group 3 ----
1	1664	402	2
1	1680	402	2
1	1696	402	2

1	1664	386	2
1	1680	386	2

1	1664	370	2

# BRICK TYPE 2
#---brick2 group1 ---
1	1952	402	21
1	1968	402	21
1	1984	402	21
1	2000	402	21
1	2016	402	21
1	2032	402	21
1	2048	402	21
1	2064	402	21

1	1968	386	21
1	1984	386	21
1	2000	386	21
1	2016	386	21
1	2032	386	21
1	2048	386	21

1	1984	370	21
1	2000	370	21
1	2016	370	21
1	2032	370	21
1	2048	370	21

#--brick2 group 2---
1	2096	402	21
1	2112	402	21

1	2096	386	21

	#clouds platform,does doraemon have anything to do with this (⊙_⊙)？
#1st pack
1	1408	194	23
1	1424	194	23
1	1440	194	23
1	1456	194	23

#2nd pack
1	1488	178	23
1	1504	178	23
1	1520	178	23
1	1536	178	23
1	1552	178	23
1	1568	178	23
1	1584	178	23
1	1600	178	23
1	1616	178	23
1	1632	178	23
1	1648	178	23
1	1664	178	23
1	1680	178	23
1	1696	178	23


# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
#50	300	98	0	316	150	2
[INDESTRUCTIBLES]
#type	left	top	right	bottom
# type: 1-Floor, 2-Pipe,3-Platform

#----------------------Floor setup------------------
	#"normal" floors
#1 - base
1	0	418	1088	434
#2 - 1 level up
1	624	402	1088	418
#3 - base
1	1152	418	1504	434
#4 - base
1	1536	418	1616	434
#5 - base
1	1664	418	2240	434
#6 - base
1	2256	418	2816	434


#-------------------platform
#1
3	240	370	288	371
3	272	338	320	339

#2
3	400	370	480	371
3	464	338	528	339
3	512	386	608	387
3	512	306	576	307

#3
3	1264	386	1376	387
3	1296	354	1408	355
3	1328	322	1440	323

3	1312	146	1376	147
#4
3	2144	370	2192	371
3	2176	274	2224	275

#-----------------------Pipe setup------------------
#
2	352	370	384	418
2	1792	386	1824	418
2	1856	370	1888	418
2	2256	114	2288	321
2	2256	370	2288	418
2	2320	386	2352	418
